disease,symptoms,therapeutic techniques,doctor,risk level
anxiety disorder,"anxious, panic, worry, fear, nervousness, restlessness","Cognitive Behavioral Therapy (CBT),Exposure Therapy,Deep Breathing and Relaxation Techniques","psychologist,psychiatrist",varies depending on the type of anxiety disorder
bipolar disorder,"manic, depressive, hypomanic, manic episodes, euphoria, bipolar, mania","Cognitive-Behavioral Therapy (CBT),Interpersonal and Social Rhythm Therapy (IPSRT),Mindfulness-Based Therapies","psychologist,psychiatrist",varies depending on the type of bipolar disorder
depression ,"sadness,hopelessness,loss of interest in activities,changes in appetite,sleep,energy levels,sad, hopeless, fatigue, isolation","Cognitive Behavioral Therapy (CBT),Mindfulness Meditation,Behavioral Activation","psychologist,psychiatrist",varies depending on the type of depression disorder
eating disorder,"anorexia, bulimia, purging, restrictive, orthorexia, EDNOS","Cognitive-Behavioral Therapy (CBT),Dialectical Behavior Therapy (DBT),Interpersonal Psychotherapy (IPT)","psychologist,psychiatrist",varies depending on the type of eating disorder
insomnia,"insomnia,sleeplessness,restlessness,sleepdisturbances","Continuous positive airway pressure (CPAP),Relaxation techniques,Sleep restriction therapy","psychologist,psychiatrist",varies depending on the type of insomnia disorder
Sleep Apnea,"sleepapnea,snoring,interruptedsleep","Continuous positive airway pressure (CPAP),Oral appliances","psychologist,psychiatrist",varies depending on the type of sleep apnea disorder
Sleepwalking Disorder,sleepwalking,"Behavioral Therapy,Biofeedback and Relaxation Techniques,Improving Sleep Hygiene","psychologist,psychiatrist",varies depending on the type of sleep apnea disorder
Obsessive-compulsive disorder (OCD) ,"obsession, compulsion","Cognitive Behavioral Therapy (CBT), Exposure and Response Prevention (ERP)","psychologist,psychiatrist",varies depending on the type of OCD
Post-Traumatic Stress Disorder (PTSD),"flashbacks, nightmares, hypervigilance, avoidance, hyperarousal, trauma, dissociation","Eye Movement Desensitization and Reprocessing (EMDR), Prolonged Exposure Therapy (PE)","psychologist,psychiatrist",Varies depending on the type of PTSD
Social Anxiety Disorder,"social anxiety, fear of judgment","Cognitive Behavioral Therapy (CBT), Social Skills Training","psychologist,psychiatrist",varies depending on the type of social anxiety disorder
Schizophrenia,"hallucinations, delusion, psychosis, disorganized, catatonic, schizophrenic","Antipsychotic Medications, Cognitive Behavioral Therapy for Psychosis (CBTP)","psychologist,psychiatrist",varies depending on the type of schizophrenia disorder
Oppositional Defiant Disorder,"defiance, defiant, irritability",Parent-Child Interaction Therapy (PCIT),"psychologist,psychiatrist",varies depending on the type of oppositional defiant disorder
